1,11,63851
1,5,10974
1,0,7414
1,7,31369
1,10,5636
1,16,0
1,1,-1
1,3,5058
1,15,0
1,4,10177
1,9,0
1,12,7632
1,14,9739
1,2,0
1,6,-1
1,8,1609
1,13,893130
2,11,999
2,5,-1
2,0,-1
2,7,4482
2,10,-1
2,16,2388
2,1,-1
2,3,-1
2,15,3390
2,4,-1
2,9,7963
2,12,3841
2,14,-1
2,2,-1
2,6,-1
2,8,-1
2,13,204345
3,11,25101
3,5,-1
3,0,-1
3,7,0
3,10,-1
3,16,0
3,1,-1
3,3,0
3,15,0
3,4,-1
3,9,4885
3,12,-1
3,14,-1
3,2,0
3,6,34954
3,8,0
3,13,430802
4,11,3193
4,5,8725
4,0,7863
4,7,18223
4,10,333
4,16,5272
4,1,0
4,3,1231
4,15,7053
4,4,0
4,9,5664
4,12,-1
4,14,0
4,2,-1
4,6,0
4,8,0
4,13,493081
6,11,730
6,5,7174
6,0,-1
6,7,2804
6,10,0
6,16,0
6,1,0
6,3,0
6,15,0
6,4,27478
6,9,0
6,12,0
6,14,0
6,2,0
6,6,-1
6,8,0
6,13,6062
10,11,30230
10,5,-1
10,0,-1
10,7,-1
10,10,3000
10,16,-1
10,1,-1
10,3,-1
10,15,-1
10,4,16019
10,9,-1
10,12,-1
10,14,-1
10,2,-1
10,6,-1
10,8,-1
10,13,601406
11,11,9390
11,5,8218
11,0,11584
11,7,1402
11,10,1284
11,16,23280
11,1,-1
11,3,0
11,15,0
11,4,17013
11,9,31845
11,12,3202
11,14,-1
11,2,0
11,6,-1
11,8,-1
11,13,864062
12,11,35070
12,5,0
12,0,14321
12,7,17420
12,10,-1
12,16,31028
12,1,16170
12,3,0
12,15,3150
12,4,0
12,9,15124
12,12,-1
12,14,2970
12,2,0
12,6,-1
12,8,-1
12,13,695306
13,11,6130
13,5,-1
13,0,-1
13,7,17765
13,10,4352
13,16,440
13,1,432
13,3,518
13,15,-1
13,4,-1
13,9,0
13,12,5491
13,14,-1
13,2,-1
13,6,-1
13,8,-1
13,13,191618
14,11,16390
14,5,2602
14,0,1707
14,7,7025
14,10,-1
14,16,1187
14,1,0
14,3,-1
14,15,-1
14,4,-1
14,9,1075
14,12,-1
14,14,-1
14,2,-1
14,6,-1
14,8,-1
